Category,Item,mar_revenue,apr_revenue,change_dollars,change_pct,mar_units,apr_units
BBQ Platters,Total,64911.0,60872.0,-4039.0,-6.2,449,424
BBQ Platters,Nine Yard,11622.0,9288.0,-2334.0,-20.1,39,31
BBQ Platters,Three Yard,34192.0,32426.0,-1766.0,-5.2,314,297
Specialty Mac & Cheese,Total,3870.0,3024.0,-846.0,-21.9,215,168
The Bun Yard,The Backyard Burger,5022.5,4213.5,-809.0,-16.1,250,210
Specialty Mac & Cheese,Brisket Mac And Cheese,3096.0,2502.0,-594.0,-19.2,172,139
The Bun Yard,Pulled Beef Sandwich,2530.0,2002.0,-528.0,-20.9,115,91
All,Grand Total,121874.97,121542.48,-332.49,-0.3,4275,4445
Drinks,Mango Strawberry Lemonade,1435.0,1155.0,-280.0,-19.5,205,165
The Backyard Bites,Brisket Poutine,1216.0,950.0,-266.0,-21.9,64,50
Specialty Mac & Cheese,Chicken Mac And Cheese,522.0,342.0,-180.0,-34.5,29,19
The Bun Yard,Holy Hen Sandwich,1007.0,893.0,-114.0,-11.3,53,47
Drinks,Mint Lemonade,672.0,560.0,-112.0,-16.7,96,80
The Backyard Bites,Total,2360.0,2250.0,-110.0,-4.7,129,124
Starters,Mushroom Soup,333.0,252.0,-81.0,-24.3,37,28
Desserts,Total,994.0,914.0,-80.0,-8.0,88,82
Specialty Mac & Cheese,Mushroom Mac and Cheese,252.0,180.0,-72.0,-28.6,14,10
Drinks,Canada Dry,311.5,241.5,-70.0,-22.5,72,65
Starters,Caesar Salad,330.0,264.0,-66.0,-20.0,30,24
Drinks,Total,7809.0,7745.5,-63.5,-0.8,1296,1362
Starters,Mac & Cheese,981.0,927.0,-54.0,-5.5,109,103
Desserts,Molten Lava Cake,884.0,832.0,-52.0,-5.9,68,64
Drinks,Blackberry Pineapple Lemonade,525.0,476.0,-49.0,-9.3,75,68
Drinks,Coke,959.0,917.0,-42.0,-4.4,232,243
Desserts,Sweet Cornbread,54.0,18.0,-36.0,-66.7,6,2
Starters,Fried Shrimp,540.0,504.0,-36.0,-6.7,45,42
Starters,Creamy Coleslaw,120.0,102.0,-18.0,-15.0,20,17
The Backyard Bites,Chuck Beef Sliders X3,954.0,936.0,-18.0,-1.9,53,52
Guilty Pleasures,Mushroom Confit,105.0,90.0,-15.0,-14.3,21,18
Sauces,Cheese Sauce,14.0,2.0,-12.0,-85.7,7,1
Sauces,Chipotle Mayo,25.0,14.0,-11.0,-44.0,25,14
Drinks,Crush,66.5,56.0,-10.5,-15.8,19,16
Guilty Pleasures,Baby Roasted Potatoes,95.0,85.0,-10.0,-10.5,19,17
Drinks,Barbican,135.0,126.0,-9.0,-6.7,30,28
Starters,Rice,65.0,60.0,-5.0,-7.7,13,12
Guilty Pleasures,Garlic Bread,100.0,96.0,-4.0,-4.0,25,24
Sauces,Gold Sauce,4.0,3.0,-1.0,-25.0,4,3
Sauces,Hot Sauce,10.0,9.0,-1.0,-10.0,10,9
Sauces,Total,129.0,129.0,0.0,0.0,111,116
Smoke Yard,Pulled Chuck,400.0,400.0,0.0,0.0,20,20
Sauces,Honey,4.0,5.0,1.0,25.0,4,5
Sauces,BKYD Sauce,12.0,14.0,2.0,16.7,12,14
Sauces,Gravy,22.0,24.0,2.0,9.1,11,12
Sauces,Garlic Mayo,18.0,25.0,7.0,38.9,18,25
Desserts,Ice Cream,56.0,64.0,8.0,14.3,14,16
Starters,Sweet Potato Fries,192.0,204.0,12.0,6.3,32,34
The Backyard Bites,Regular Poutine,24.0,36.0,12.0,50.0,2,3
Sauces,BBQ Sauce,20.0,33.0,13.0,65.0,20,33
Starters,Baked Beans,126.0,140.0,14.0,11.1,18,20
Starters,Macaroni Salad,30.0,48.0,18.0,60.0,5,8
The Bun Yard,Pulled Smoked Chicken,703.0,722.0,19.0,2.7,37,38
The Chic Yard,1lb Chicken Wings,859.57,879.56,19.99,2.3,43,44
Smoke Yard,Chicken Quarters,375.0,400.0,25.0,6.7,15,16
Starters,Hand Cut Fries,172.0,220.0,48.0,27.9,43,55
The Backyard Bites,Pulled Chicken Poutine,128.0,176.0,48.0,37.5,8,11
Starters,Curly Fries,345.0,395.0,50.0,14.5,69,79
Drinks,Coke Zero,521.0,574.0,53.0,10.2,126,153
Drinks,Milkshakes,851.0,904.0,53.0,6.2,79,82
Starters,Smoked Corn,189.0,243.0,54.0,28.6,21,27
BBQ Platters,Six Yard,19097.0,19158.0,61.0,0.3,96,96
Starters,Fried Pickles,147.0,210.0,63.0,42.9,21,30
Starters,Total,3762.0,3825.0,63.0,1.7,487,511
Starters,Mashed Potatoes,192.0,256.0,64.0,33.3,24,32
Drinks,7 Up,185.5,252.0,66.5,35.8,49,70
The Bun Yard,The Chef Yard Burger,2156.0,2244.0,88.0,4.1,98,102
Drinks,Diet Coke,626.5,721.0,94.5,15.1,147,188
Guilty Pleasures,Total,575.0,686.0,111.0,19.3,120,142
The Backyard Bites,Party Fries,38.0,152.0,114.0,300.0,2,8
