Period,Category,Item,total_units,total_revenue,rank_in_category
APR,BBQ Platters,Three Yard,297,32426.0,1
APR,BBQ Platters,Six Yard,96,19158.0,2
APR,BBQ Platters,Nine Yard,31,9288.0,3
APR,Desserts,Molten Lava Cake,64,832.0,1
APR,Desserts,Ice Cream,16,64.0,2
APR,Desserts,Sweet Cornbread,2,18.0,3
APR,Drinks,Mocktails,148,1539.0,1
APR,Drinks,Mango Strawberry Lemonade,165,1155.0,2
APR,Drinks,Coke,243,917.0,3
APR,Drinks,Milkshakes,82,904.0,4
APR,Drinks,Diet Coke,188,721.0,5
APR,Drinks,Coke Zero,153,574.0,6
APR,Drinks,Mint Lemonade,80,560.0,7
APR,Drinks,Blackberry Pineapple Lemonade,68,476.0,8
APR,Drinks,7 Up,70,252.0,9
APR,Drinks,Canada Dry,65,241.5,10
APR,Drinks,Carbonated Water,56,224.0,11
APR,Drinks,Barbican,28,126.0,12
APR,Drinks,Crush,16,56.0,13
APR,Guilty Pleasures,Corn Bread,83,415.0,1
APR,Guilty Pleasures,Garlic Bread,24,96.0,2
APR,Guilty Pleasures,Mushroom Confit,18,90.0,3
APR,Guilty Pleasures,Baby Roasted Potatoes,17,85.0,4
APR,Kids Yard,Tenders & Fries,35,630.0,1
APR,Kids Yard,Sliders & Sides,33,594.0,2
APR,Sauces,BBQ Sauce,33,33.0,1
APR,Sauces,Garlic Mayo,25,25.0,2
APR,Sauces,Gravy,12,24.0,3
APR,Sauces,Chipotle Mayo,14,14.0,4
APR,Sauces,BKYD Sauce,14,14.0,4
APR,Sauces,Hot Sauce,9,9.0,6
APR,Sauces,Honey,5,5.0,7
APR,Sauces,Gold Sauce,3,3.0,8
APR,Sauces,Cheese Sauce,1,2.0,9
APR,Smoke Yard,Brisket,163,7661.0,1
APR,Smoke Yard,Beef Back Ribs,165,5940.0,2
APR,Smoke Yard,Short Ribs,59,3245.0,3
APR,Smoke Yard,Lamb Shank,43,1548.0,4
APR,Smoke Yard,Whole Smoked Chicken,29,1015.0,5
APR,Smoke Yard,Smoked Sausages (5 Pcs),40,800.0,6
APR,Smoke Yard,Pulled Chuck,20,400.0,7
APR,Smoke Yard,Chicken Quarters,16,400.0,7
APR,Specialty Mac & Cheese,Brisket Mac And Cheese,139,2502.0,1
APR,Specialty Mac & Cheese,Chicken Mac And Cheese,19,342.0,2
APR,Specialty Mac & Cheese,Mushroom Mac and Cheese,10,180.0,3
APR,Starters,Mac & Cheese,103,927.0,1
APR,Starters,Fried Shrimp,42,504.0,2
APR,Starters,Curly Fries,79,395.0,3
APR,Starters,Caesar Salad,24,264.0,4
APR,Starters,Mashed Potatoes,32,256.0,5
APR,Starters,Mushroom Soup,28,252.0,6
APR,Starters,Smoked Corn,27,243.0,7
APR,Starters,Hand Cut Fries,55,220.0,8
APR,Starters,Fried Pickles,30,210.0,9
APR,Starters,Sweet Potato Fries,34,204.0,10
APR,Starters,Baked Beans,20,140.0,11
APR,Starters,Creamy Coleslaw,17,102.0,12
APR,Starters,Rice,12,60.0,13
APR,Starters,Macaroni Salad,8,48.0,14
APR,The Backyard Bites,Brisket Poutine,50,950.0,1
APR,The Backyard Bites,Chuck Beef Sliders X3,52,936.0,2
APR,The Backyard Bites,Pulled Chicken Poutine,11,176.0,3
APR,The Backyard Bites,Party Fries,8,152.0,4
APR,The Backyard Bites,Regular Poutine,3,36.0,5
APR,The Bun Yard,Brisket Beef Burger,234,5852.16,1
APR,The Bun Yard,The Backyard Burger,210,4213.5,2
APR,The Bun Yard,The Chef Yard Burger,102,2244.0,3
APR,The Bun Yard,Pulled Beef Sandwich,91,2002.0,4
APR,The Bun Yard,Cheeseyard Burger,59,1298.0,5
APR,The Bun Yard,Nashville Hen Sandwich,64,1280.0,6
APR,The Bun Yard,Holy Hen Sandwich,47,893.0,7
APR,The Bun Yard,Pulled Smoked Chicken,38,722.0,8
APR,The Chic Yard,1lb Chicken Wings,44,879.56,1
APR,The Chic Yard,Chicken Strips,24,479.76,2
MAR,BBQ Platters,Three Yard,314,34192.0,1
MAR,BBQ Platters,Six Yard,96,19097.0,2
MAR,BBQ Platters,Nine Yard,39,11622.0,3
MAR,Desserts,Molten Lava Cake,68,884.0,1
MAR,Desserts,Ice Cream,14,56.0,2
MAR,Desserts,Sweet Cornbread,6,54.0,3
MAR,Drinks,Mango Strawberry Lemonade,205,1435.0,1
MAR,Drinks,Mocktails,139,1413.0,2
MAR,Drinks,Coke,232,959.0,3
MAR,Drinks,Milkshakes,79,851.0,4
MAR,Drinks,Mint Lemonade,96,672.0,5
MAR,Drinks,Diet Coke,147,626.5,6
MAR,Drinks,Blackberry Pineapple Lemonade,75,525.0,7
MAR,Drinks,Coke Zero,126,521.0,8
MAR,Drinks,Canada Dry,72,311.5,9
MAR,Drinks,7 Up,49,185.5,10
MAR,Drinks,Barbican,30,135.0,11
MAR,Drinks,Carbonated Water,27,108.0,12
MAR,Drinks,Crush,19,66.5,13
MAR,Guilty Pleasures,Corn Bread,55,275.0,1
MAR,Guilty Pleasures,Mushroom Confit,21,105.0,2
MAR,Guilty Pleasures,Garlic Bread,25,100.0,3
MAR,Guilty Pleasures,Baby Roasted Potatoes,19,95.0,4
MAR,Kids Yard,Sliders & Sides,26,468.0,1
MAR,Kids Yard,Tenders & Fries,18,324.0,2
MAR,Sauces,Chipotle Mayo,25,25.0,1
MAR,Sauces,Gravy,11,22.0,2
MAR,Sauces,BBQ Sauce,20,20.0,3
MAR,Sauces,Garlic Mayo,18,18.0,4
MAR,Sauces,Cheese Sauce,7,14.0,5
MAR,Sauces,BKYD Sauce,12,12.0,6
MAR,Sauces,Hot Sauce,10,10.0,7
MAR,Sauces,Honey,4,4.0,8
MAR,Sauces,Gold Sauce,4,4.0,8
MAR,Smoke Yard,Brisket,128,6016.0,1
MAR,Smoke Yard,Beef Back Ribs,137,4932.0,2
MAR,Smoke Yard,Short Ribs,54,2970.0,3
MAR,Smoke Yard,Lamb Shank,39,1404.0,4
MAR,Smoke Yard,Whole Smoked Chicken,21,735.0,5
MAR,Smoke Yard,Smoked Sausages (5 Pcs),28,560.0,6
MAR,Smoke Yard,Pulled Chuck,20,400.0,7
MAR,Smoke Yard,Chicken Quarters,15,375.0,8
MAR,Specialty Mac & Cheese,Brisket Mac And Cheese,172,3096.0,1
MAR,Specialty Mac & Cheese,Chicken Mac And Cheese,29,522.0,2
MAR,Specialty Mac & Cheese,Mushroom Mac and Cheese,14,252.0,3
MAR,Starters,Mac & Cheese,109,981.0,1
MAR,Starters,Fried Shrimp,45,540.0,2
MAR,Starters,Curly Fries,69,345.0,3
MAR,Starters,Mushroom Soup,37,333.0,4
MAR,Starters,Caesar Salad,30,330.0,5
MAR,Starters,Sweet Potato Fries,32,192.0,6
MAR,Starters,Mashed Potatoes,24,192.0,6
MAR,Starters,Smoked Corn,21,189.0,8
MAR,Starters,Hand Cut Fries,43,172.0,9
MAR,Starters,Fried Pickles,21,147.0,10
MAR,Starters,Baked Beans,18,126.0,11
MAR,Starters,Creamy Coleslaw,20,120.0,12
MAR,Starters,Rice,13,65.0,13
MAR,Starters,Macaroni Salad,5,30.0,14
MAR,The Backyard Bites,Brisket Poutine,64,1216.0,1
MAR,The Backyard Bites,Chuck Beef Sliders X3,53,954.0,2
MAR,The Backyard Bites,Pulled Chicken Poutine,8,128.0,3
MAR,The Backyard Bites,Party Fries,2,38.0,4
MAR,The Backyard Bites,Regular Poutine,2,24.0,5
MAR,The Bun Yard,The Backyard Burger,250,5022.5,1
MAR,The Bun Yard,Brisket Beef Burger,197,4923.03,2
MAR,The Bun Yard,Pulled Beef Sandwich,115,2530.0,3
MAR,The Bun Yard,The Chef Yard Burger,98,2156.0,4
MAR,The Bun Yard,Nashville Hen Sandwich,58,1160.0,5
MAR,The Bun Yard,Holy Hen Sandwich,53,1007.0,6
MAR,The Bun Yard,Pulled Smoked Chicken,37,703.0,7
MAR,The Bun Yard,Cheeseyard Burger,30,660.0,8
MAR,The Chic Yard,1lb Chicken Wings,43,859.57,1
MAR,The Chic Yard,Chicken Strips,13,259.87,2
