Item,total_revenue,running_total,cumulative_pct
Three Yard,32426.0,32426.0,26.7
Six Yard,19158.0,51584.0,42.4
Nine Yard,9288.0,60872.0,50.1
Brisket,7661.0,68533.0,56.4
Beef Back Ribs,5940.0,74473.0,61.3
Brisket Beef Burger,5852.16,80325.16,66.1
The Backyard Burger,4213.5,84538.66,69.6
Short Ribs,3245.0,87783.66,72.2
Brisket Mac And Cheese,2502.0,90285.66,74.3
The Chef Yard Burger,2244.0,92529.66,76.1
Pulled Beef Sandwich,2002.0,94531.66,77.8
Lamb Shank,1548.0,96079.66,79.1
Mocktails,1539.0,97618.66,80.3
Cheeseyard Burger,1298.0,98916.66,81.4
Nashville Hen Sandwich,1280.0,100196.66,82.4
Mango Strawberry Lemonade,1155.0,101351.66,83.4
Whole Smoked Chicken,1015.0,102366.66,84.2
Brisket Poutine,950.0,103316.66,85.0
Chuck Beef Sliders X3,936.0,104252.66,85.8
Mac & Cheese,927.0,105179.66,86.5
Coke,917.0,106096.66,87.3
Milkshakes,904.0,107000.66,88.0
Holy Hen Sandwich,893.0,107893.66,88.8
1lb Chicken Wings,879.56,108773.22,89.5
Molten Lava Cake,832.0,109605.22,90.2
Smoked Sausages (5 Pcs),800.0,110405.22,90.8
Pulled Smoked Chicken,722.0,111127.22,91.4
Diet Coke,721.0,111848.22,92.0
Tenders & Fries,630.0,112478.22,92.5
Sliders & Sides,594.0,113072.22,93.0
Coke Zero,574.0,113646.22,93.5
Mint Lemonade,560.0,114206.22,94.0
Fried Shrimp,504.0,114710.22,94.4
Chicken Strips,479.76,115189.98,94.8
Blackberry Pineapple Lemonade,476.0,115665.98,95.2
Corn Bread,415.0,116080.98,95.5
Chicken Quarters,400.0,116880.98,96.2
Pulled Chuck,400.0,116880.98,96.2
Curly Fries,395.0,117275.98,96.5
Chicken Mac And Cheese,342.0,117617.98,96.8
Caesar Salad,264.0,117881.98,97.0
Mashed Potatoes,256.0,118137.98,97.2
7 Up,252.0,118641.98,97.6
Mushroom Soup,252.0,118641.98,97.6
Smoked Corn,243.0,118884.98,97.8
Canada Dry,241.5,119126.48,98.0
Carbonated Water,224.0,119350.48,98.2
Hand Cut Fries,220.0,119570.48,98.4
Fried Pickles,210.0,119780.48,98.6
Sweet Potato Fries,204.0,119984.48,98.7
Mushroom Mac and Cheese,180.0,120164.48,98.9
Pulled Chicken Poutine,176.0,120340.48,99.0
Party Fries,152.0,120492.48,99.1
Baked Beans,140.0,120632.48,99.3
Barbican,126.0,120758.48,99.4
Creamy Coleslaw,102.0,120860.48,99.4
Garlic Bread,96.0,120956.48,99.5
Mushroom Confit,90.0,121046.48,99.6
Baby Roasted Potatoes,85.0,121131.48,99.7
Ice Cream,64.0,121195.48,99.7
Rice,60.0,121255.48,99.8
Crush,56.0,121311.48,99.8
Macaroni Salad,48.0,121359.48,99.8
Regular Poutine,36.0,121395.48,99.9
BBQ Sauce,33.0,121428.48,99.9
Garlic Mayo,25.0,121453.48,99.9
Gravy,24.0,121477.48,99.9
Sweet Cornbread,18.0,121495.48,100.0
BKYD Sauce,14.0,121523.48,100.0
Chipotle Mayo,14.0,121523.48,100.0
Hot Sauce,9.0,121532.48,100.0
Honey,5.0,121537.48,100.0
Gold Sauce,3.0,121540.48,100.0
Cheese Sauce,2.0,121542.48,100.0
