Period,Category,Item,total_units,total_revenue,revenue_per_unit
APR,BBQ Platters,Nine Yard,31,9288.0,299.0
APR,BBQ Platters,Six Yard,96,19158.0,199.0
APR,BBQ Platters,Three Yard,297,32426.0,109.0
APR,Smoke Yard,Short Ribs,59,3245.0,55.0
APR,Smoke Yard,Brisket,163,7661.0,47.0
APR,Smoke Yard,Beef Back Ribs,165,5940.0,36.0
APR,Smoke Yard,Lamb Shank,43,1548.0,36.0
APR,Smoke Yard,Whole Smoked Chicken,29,1015.0,35.0
APR,The Bun Yard,Brisket Beef Burger,234,5852.16,25.01
APR,Smoke Yard,Chicken Quarters,16,400.0,25.0
APR,The Bun Yard,Cheeseyard Burger,59,1298.0,22.0
APR,The Bun Yard,Pulled Beef Sandwich,91,2002.0,22.0
APR,The Bun Yard,The Chef Yard Burger,102,2244.0,22.0
APR,The Bun Yard,The Backyard Burger,210,4213.5,20.06
APR,Smoke Yard,Pulled Chuck,20,400.0,20.0
APR,Smoke Yard,Smoked Sausages (5 Pcs),40,800.0,20.0
APR,The Bun Yard,Nashville Hen Sandwich,64,1280.0,20.0
APR,The Chic Yard,1lb Chicken Wings,44,879.56,19.99
APR,The Chic Yard,Chicken Strips,24,479.76,19.99
APR,The Backyard Bites,Brisket Poutine,50,950.0,19.0
APR,The Backyard Bites,Party Fries,8,152.0,19.0
APR,The Bun Yard,Holy Hen Sandwich,47,893.0,19.0
APR,The Bun Yard,Pulled Smoked Chicken,38,722.0,19.0
APR,Kids Yard,Sliders & Sides,33,594.0,18.0
APR,Kids Yard,Tenders & Fries,35,630.0,18.0
APR,Specialty Mac & Cheese,Brisket Mac And Cheese,139,2502.0,18.0
APR,Specialty Mac & Cheese,Chicken Mac And Cheese,19,342.0,18.0
APR,Specialty Mac & Cheese,Mushroom Mac and Cheese,10,180.0,18.0
APR,The Backyard Bites,Chuck Beef Sliders X3,52,936.0,18.0
APR,The Backyard Bites,Pulled Chicken Poutine,11,176.0,16.0
APR,Desserts,Molten Lava Cake,64,832.0,13.0
APR,Starters,Fried Shrimp,42,504.0,12.0
APR,The Backyard Bites,Regular Poutine,3,36.0,12.0
APR,Drinks,Milkshakes,82,904.0,11.0
APR,Starters,Caesar Salad,24,264.0,11.0
APR,Drinks,Mocktails,148,1539.0,10.0
APR,Desserts,Sweet Cornbread,2,18.0,9.0
APR,Starters,Mac & Cheese,103,927.0,9.0
APR,Starters,Mushroom Soup,28,252.0,9.0
APR,Starters,Smoked Corn,27,243.0,9.0
APR,Starters,Mashed Potatoes,32,256.0,8.0
APR,Drinks,Blackberry Pineapple Lemonade,68,476.0,7.0
APR,Drinks,Mango Strawberry Lemonade,165,1155.0,7.0
APR,Drinks,Mint Lemonade,80,560.0,7.0
APR,Starters,Baked Beans,20,140.0,7.0
APR,Starters,Fried Pickles,30,210.0,7.0
APR,Starters,Creamy Coleslaw,17,102.0,6.0
APR,Starters,Macaroni Salad,8,48.0,6.0
APR,Starters,Sweet Potato Fries,34,204.0,6.0
APR,Guilty Pleasures,Baby Roasted Potatoes,17,85.0,5.0
APR,Guilty Pleasures,Corn Bread,83,415.0,5.0
APR,Guilty Pleasures,Mushroom Confit,18,90.0,5.0
APR,Starters,Curly Fries,79,395.0,5.0
APR,Starters,Rice,12,60.0,5.0
APR,Desserts,Ice Cream,16,64.0,4.0
APR,Drinks,Barbican,28,126.0,4.0
APR,Drinks,Carbonated Water,56,224.0,4.0
APR,Guilty Pleasures,Garlic Bread,24,96.0,4.0
APR,Starters,Hand Cut Fries,55,220.0,4.0
APR,Drinks,Canada Dry,65,241.5,3.72
APR,Drinks,7 Up,70,252.0,3.0
APR,Drinks,Coke,243,917.0,3.0
APR,Drinks,Coke Zero,153,574.0,3.0
APR,Drinks,Crush,16,56.0,3.0
APR,Drinks,Diet Coke,188,721.0,3.0
APR,Sauces,Cheese Sauce,1,2.0,2.0
APR,Sauces,Gravy,12,24.0,2.0
APR,Sauces,BBQ Sauce,33,33.0,1.0
APR,Sauces,BKYD Sauce,14,14.0,1.0
APR,Sauces,Chipotle Mayo,14,14.0,1.0
APR,Sauces,Garlic Mayo,25,25.0,1.0
APR,Sauces,Gold Sauce,3,3.0,1.0
APR,Sauces,Honey,5,5.0,1.0
APR,Sauces,Hot Sauce,9,9.0,1.0
MAR,BBQ Platters,Nine Yard,39,11622.0,298.0
MAR,BBQ Platters,Six Yard,96,19097.0,198.0
MAR,BBQ Platters,Three Yard,314,34192.0,108.0
MAR,Smoke Yard,Short Ribs,54,2970.0,55.0
MAR,Smoke Yard,Brisket,128,6016.0,47.0
MAR,Smoke Yard,Beef Back Ribs,137,4932.0,36.0
MAR,Smoke Yard,Lamb Shank,39,1404.0,36.0
MAR,Smoke Yard,Whole Smoked Chicken,21,735.0,35.0
MAR,Smoke Yard,Chicken Quarters,15,375.0,25.0
MAR,The Bun Yard,Brisket Beef Burger,197,4923.03,24.99
MAR,The Bun Yard,Cheeseyard Burger,30,660.0,22.0
MAR,The Bun Yard,Pulled Beef Sandwich,115,2530.0,22.0
MAR,The Bun Yard,The Chef Yard Burger,98,2156.0,22.0
MAR,The Bun Yard,The Backyard Burger,250,5022.5,20.09
MAR,Smoke Yard,Pulled Chuck,20,400.0,20.0
MAR,Smoke Yard,Smoked Sausages (5 Pcs),28,560.0,20.0
MAR,The Bun Yard,Nashville Hen Sandwich,58,1160.0,20.0
MAR,The Chic Yard,1lb Chicken Wings,43,859.57,19.99
MAR,The Chic Yard,Chicken Strips,13,259.87,19.99
MAR,The Backyard Bites,Brisket Poutine,64,1216.0,19.0
MAR,The Backyard Bites,Party Fries,2,38.0,19.0
MAR,The Bun Yard,Holy Hen Sandwich,53,1007.0,19.0
MAR,The Bun Yard,Pulled Smoked Chicken,37,703.0,19.0
MAR,Kids Yard,Sliders & Sides,26,468.0,18.0
MAR,Kids Yard,Tenders & Fries,18,324.0,18.0
MAR,Specialty Mac & Cheese,Brisket Mac And Cheese,172,3096.0,18.0
