Category,mar_revenue,apr_revenue,change_dollars,change_pct
BBQ Platters,64911.0,60872.0,-4039.0,0.0
The Bun Yard,18161.53,18504.66,343.13,1.9
Smoke Yard,17392.0,21009.0,3617.0,0.0
Drinks,7809.0,7745.5,-63.5,-0.8
Specialty Mac & Cheese,3870.0,3024.0,-846.0,0.0
Starters,3762.0,3825.0,63.0,0.0
The Backyard Bites,2360.0,2250.0,-110.0,0.0
The Chic Yard,1119.44,1359.32,239.88,21.4
Desserts,994.0,914.0,-80.0,0.0
Kids Yard,792.0,1224.0,432.0,0.0
Guilty Pleasures,575.0,686.0,111.0,0.0
Sauces,129.0,129.0,0.0,0.0
