Category,Item,total_units,total_revenue
Sauces,Cheese Sauce,1,2.0
Desserts,Sweet Cornbread,2,18.0
Sauces,Gold Sauce,3,3.0
The Backyard Bites,Regular Poutine,3,36.0
Sauces,Honey,5,5.0
Starters,Macaroni Salad,8,48.0
The Backyard Bites,Party Fries,8,152.0
Sauces,Hot Sauce,9,9.0
Specialty Mac & Cheese,Mushroom Mac and Cheese,10,180.0
The Backyard Bites,Pulled Chicken Poutine,11,176.0
Sauces,Gravy,12,24.0
Starters,Rice,12,60.0
Sauces,BKYD Sauce,14,14.0
Sauces,Chipotle Mayo,14,14.0
Desserts,Ice Cream,16,64.0
Drinks,Crush,16,56.0
Smoke Yard,Chicken Quarters,16,400.0
Guilty Pleasures,Baby Roasted Potatoes,17,85.0
Starters,Creamy Coleslaw,17,102.0
Guilty Pleasures,Mushroom Confit,18,90.0
Specialty Mac & Cheese,Chicken Mac And Cheese,19,342.0
